"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @MattBiddick: Why the flora of NZ is not as unique as you might think: https://t.co/XRPXs1tu4R #nzes2015",FALSE,0,NA,2015-11-20 04:57:32,FALSE,NA,"667567430357487616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bugblokenz",4,TRUE,FALSE,NA,NA
"2","RT @JonCounts: While we've been indoors talking about citizen science at #nzes2015, citizens have made 570 nature observations on @naturewa…",FALSE,0,NA,2015-11-20 04:45:56,FALSE,NA,"667564509595172864",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MichaelPlankNZ",14,TRUE,FALSE,NA,NA
"3","RT @MattBiddick: Why the flora of NZ is not as unique as you might think: https://t.co/XRPXs1tu4R #nzes2015",FALSE,0,NA,2015-11-20 04:39:48,FALSE,NA,"667562967618052096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NZES2015",4,TRUE,FALSE,NA,NA
"4","RT @MediaGd: Thanks for a great conference! #NZES2015",FALSE,0,NA,2015-11-20 04:39:33,FALSE,NA,"667562905097793536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NZES2015",1,TRUE,FALSE,NA,NA
"5","RT @JonCounts: While we've been indoors talking about citizen science at #nzes2015, citizens have made 570 nature observations on @naturewa…",FALSE,0,NA,2015-11-20 04:38:52,FALSE,NA,"667562729536753665",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NZES2015",14,TRUE,FALSE,NA,NA
"6","RT @bugblokenz: #nzes2015 @SidonieCigale Moving beyond ad hoc #scicomm. We should be planning our outreach as thoroughly as we plan our sci…",FALSE,0,NA,2015-11-20 04:38:37,FALSE,NA,"667562666441883648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NZES2015",7,TRUE,FALSE,NA,NA
"7","RT @monica_a_peters: Aaaaaand off to the #nzes2015 writing retreat ar the Cass Field Station finish my #PhD @waikato https://t.co/6W4XV96Jpy",FALSE,0,NA,2015-11-20 04:38:08,FALSE,NA,"667562548460294144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NZES2015",1,TRUE,FALSE,NA,NA
"8","@bugblokenz @BioInFocus @RLOlsson Yep, could do. We toyed with it for #nzes2015",FALSE,1,"bugblokenz",2015-11-20 04:33:43,FALSE,"667556669694447616","667561435195572224","2213627784","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TimCurran8",0,FALSE,FALSE,NA,NA
"9","RT @Ohtpee: #nzes2015 Thank you for the opportunity to attend as a #kauriseedscholar feeling very grateful for all I've learned https://t.c…",FALSE,0,NA,2015-11-20 04:27:26,FALSE,NA,"667559853523513345",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JohnathonRidden",2,TRUE,FALSE,NA,NA
"10","RT @bugblokenz: #nzes2015 C3 Emeny: Important to get this right from the outset or we will disengage lots of people from #CitizenScience",FALSE,0,NA,2015-11-20 04:18:13,FALSE,NA,"667557534299848704",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sponginthecity",3,TRUE,FALSE,NA,NA
"11","RT @NZES2015: To build on #nzes2015 we have set up a list of those interested in NZ ecology https://t.co/oniHlhQzvL Let us know who else sh…",FALSE,0,NA,2015-11-20 04:11:49,FALSE,NA,"667555922575691776",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","jcusens",6,TRUE,FALSE,NA,NA
"12","Thanks for a great conference! #NZES2015",FALSE,1,NA,2015-11-20 04:10:14,FALSE,NA,"667555527136690177",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MediaGd",1,FALSE,FALSE,NA,NA
